M,a,x,r,value
100,118.49546831502205,2.317457292849772,394.02770255928425,0.699173498841456
100,104.80637412595345,3.0442079514173845,401.0329069737032,0.729799144328965
100,193.52662151429513,0.7349244381071989,510.26587196479863,0.783356877813694
100,108.17738986383596,2.0327285078831583,497.6385447497056,0.765714876390039
100,107.34639392462199,0.4358364698194327,320.62808701428986,0.646678838463635
100,111.5710372833053,0.5100683974427257,435.50154337198023,0.745658911463733
100,154.63091054620568,1.9468557322266338,381.4372974327678,0.635736941377417
100,194.0149775130259,0.5092039833412545,544.9144709476524,0.809852781396617
100,165.9957001458343,1.852421580893969,524.0858922000095,0.763552872204122
100,20.274203833750093,0.7439443193165388,346.5424512857137,0.650410385049669
100,4.689100777531174,1.1130751749441519,314.07389803335775,0.602594949223814
100,131.1131598195803,0.7393994053342146,528.7974238393849,0.789878102562984
100,188.49965844571835,2.376168341326195,563.1296676756078,0.804005110617025
100,151.0248661482196,1.0057443617145208,503.8079748874345,0.766289910122854
100,149.62505934477804,1.815556035857835,524.9728553438828,0.767857648086931
100,191.60568607312433,2.7728973016186367,373.12479025117955,0.742648510494606
100,51.26272751174679,0.8505271587703511,310.4339537546983,0.594517065212987
100,148.1069824591556,2.7495662784143624,499.29287195840743,0.789256810436685
100,58.94025527699649,0.8990236148202096,347.04726465775735,0.648027890239766
100,44.50195561805366,0.01946913992158584,512.0731257344293,0.782531958564217
100,196.77302481777033,2.1484648066329948,412.3069816988292,0.682508435979626
100,193.87946323451243,2.18066601135369,587.1350501806747,0.803798505000793
100,175.41640519184807,2.5013333001155322,515.7233059315957,0.790332272022067
100,71.46028356380019,3.0927683685577714,519.0055016738102,0.788532551447550
100,155.23456140775983,2.0181035590736145,539.8036809142383,0.780559254672326
100,108.94259727635132,0.8719659286522853,318.04313760425566,0.598482411603862
100,138.6601722699885,2.6843848834500075,342.68901812661994,0.685123268291776
100,21.094043411514065,0.8020668148467104,329.3840475098737,0.626676183247829
100,125.61130696240828,2.0185654819205037,570.1689575400103,0.798906603237564
100,48.46269664458074,2.9105961349592184,593.5732582150792,0.815509822513568
100,6.571672628835401,0.37784277064019667,528.0488246726677,0.788219407658082
100,54.75323433943262,2.5470588376158454,597.3931936689294,0.816245381665082
100,3.977799615868838,2.860535162053229,474.27597946177735,0.760479911170559
100,113.44577328663523,1.2688005915692468,452.16490227870054,0.730420685031312
100,149.56917982860284,1.5857322977556312,591.52006214635,0.799252777656624
100,185.7901300400182,2.180391845026994,349.2888367805082,0.604640267873859
100,87.52951261211268,0.9603220165748715,304.58614648327904,0.569423950699753
100,51.027334940246625,0.1771875533492024,444.92705003758647,0.745631030238974
100,74.2699990049783,0.7264061714422942,445.33935627751896,0.743215819789954
100,111.29964361069531,0.31691881907662156,301.82776870364523,0.634667517191327
100,119.492660245714,1.2085204394702584,375.8633291836149,0.651401568617962
100,86.18454369633753,2.6514820828825956,422.91333064707396,0.733334047100046
100,195.36937496730957,1.5635401746597097,594.9247685927066,0.789424754415927
100,113.66821823705263,1.5273624765309364,579.1627759098564,0.800558317454750
100,157.90999320244407,2.4039680864327573,540.5895711532502,0.795626093993644
100,192.03775462099856,1.7333335045747398,460.75088223524324,0.693100515458614
100,33.287084221185694,1.4074330642612785,311.05925340033207,0.591595962554316
100,111.45140043413929,0.07722414122216793,585.2017008874462,0.818573286996392
100,198.36877861499065,1.390809524996974,397.36952253529813,0.586169651830649
100,136.4824864504877,1.3979214821839754,335.20174477447665,0.541373196777075
100,109.84692339743604,2.9281768646308635,579.1726822540297,0.815860650301108
100,4.174730049369724,1.91390602697886,475.5141808172939,0.761168560146182
100,93.52099985795637,1.743666665460228,349.60928512410436,0.621803659648801
100,134.76136498224577,0.11753620166716412,415.22942449788957,0.750394978761571
100,15.064989805460138,1.117274305643906,336.19993089788693,0.635908078370525
100,99.77454008705382,1.1594607385702171,384.6048982110428,0.674564061545622
100,62.60773349383839,2.229516107087869,332.2773261103544,0.626648874871919
100,71.26960131551196,3.095973207931884,410.6295565770954,0.726036081220109
100,96.53343961713585,2.9904796275890333,351.1356914526111,0.684654253685297
100,123.63306812606005,0.7954247889166991,479.1849084802841,0.762932975112412
100,43.071091619455345,0.9610824869979515,411.1610080366107,0.715351934327629
100,134.24761709745445,2.0610596318715992,576.9194268838876,0.801597511238978
100,189.306590036584,1.2658667380930115,332.13635926785406,0.423416556520898
100,67.45136636842628,1.6951886812157964,516.3570572505736,0.778561170049896
