M,r,value
100,353.6083764776106,0.659092208105412
100,552.8923951010621,0.798915489632849
100,420.8336303770301,0.724398240403058
100,533.7688926265051,0.790762924474613
100,500.71962474534126,0.774967658945486
100,468.10308338291384,0.756798309776723
100,585.5990739690687,0.811461277745423
100,350.17851883112036,0.654876125159100
100,448.72014592827077,0.744505135494372
100,516.5726644431116,0.782836371590871
100,318.8614863027864,0.610547623636210
100,410.05685753154637,0.715725338270714
100,351.0349229477054,0.655939110890700
100,363.8898210688534,0.671105868959373
100,552.305531779563,0.798674897448650
100,592.6057026190601,0.813945616367937
100,530.8764302400061,0.789471022314048
100,571.4624196783113,0.806238631439220
100,409.0454408036612,0.714882345327662
100,323.65376912734257,0.618106548727068
100,552.9438511367598,0.798936556895371
100,549.680236169217,0.797591436310188
100,307.17487789243535,0.590681884175355
100,554.0413825815074,0.799384847477039
100,537.1161939996026,0.792238026736477
100,391.22360013133215,0.699130457550147
100,439.4597369326207,0.738170533349663
100,367.3723539730293,0.674976459428418
100,441.1070408725202,0.739320845470543
100,358.85515525273445,0.665336059717061
100,399.91051668770655,0.707027666241807
100,525.1384020163422,0.786859593794534
100,316.107738715952,0.606056368842795
100,566.7439197190587,0.804429569980298
100,303.6553054752205,0.584258892532855
100,473.4867094081145,0.760001092196253
100,308.52893254414977,0.593095757443155
100,458.33007713017105,0.750755128849375
100,564.0810835251398,0.803393455369924
100,328.059460201291,0.624783498230668
100,494.7998343134493,0.771878323297049
100,407.68257541730907,0.713738223286084
100,318.49150206093907,0.609950621137916
100,419.61351780055435,0.723443800017857
100,441.6545100166818,0.739700849707124
100,501.5590999847093,0.775398866912485
100,486.36732084848086,0.767325329893151
100,564.8797301938392,0.803705376336394
100,357.9811543286226,0.664312706406442
100,341.0833780026297,0.643143147983581
100,480.90834112793186,0.764277655431857
100,386.5264618658264,0.694673305696587
100,446.04664906072423,0.742708829284827
100,409.58431542315486,0.715332126925231
100,560.6932713865901,0.802059058635066
100,398.2819155391513,0.705579995615505
100,583.678251551196,0.810768440916178
100,492.0099342165256,0.770392200583076
100,442.38157418780384,0.740203758602484
100,458.2031565288291,0.750674624255353
100,440.2144378532589,0.738698831901112
100,359.6119108536438,0.666216852917573
100,323.6031872236617,0.618028410092522
100,324.5120872456278,0.619427265382479
100,322.6779830915919,0.616593080618875
100,436.43286629240026,0.736029463129990
100,316.1783285882619,0.606172894188751
100,533.1164960964364,0.790472943436689
100,317.5098092965836,0.608356968596208
100,370.4570252850742,0.678326111330185
100,460.2249655587445,0.751950743213381
100,549.6942310582566,0.797597243367267
100,557.1447879166963,0.800641545914226
100,589.8959331246872,0.812992710445061
100,302.70035669527556,0.582477976902232
100,309.01406373272,0.593953084363624
100,473.987556221576,0.760294675998566
100,570.8019802937588,0.805987463694195
100,571.8486403608742,0.806385207713506
100,535.2811475630903,0.791431976389508
100,532.8785023162518,0.790366955266775
100,307.6076092558645,0.591456697727449
100,313.0331777954994,0.600907720245348
100,408.34758499225836,0.714297680175343
100,575.958025553693,0.807930982851203
100,571.0490000679168,0.806081483479917
100,301.47668070238507,0.580171330414241
100,597.1744360776556,0.815530184319599
100,385.20101578583456,0.693390632752379
100,521.0828466448231,0.784973804076946
100,439.3597012049752,0.738100342618320
100,534.1741943880616,0.790942665276041
100,598.9552334469653,0.816140446466400
100,432.19347406834584,0.732969498176042
100,441.9258160301959,0.739888745088549
100,571.12796580855,0.806111519672138
100,479.4320428366342,0.763439408800860
100,359.75874404125966,0.666387189398328
100,525.1755059730515,0.786876691586203
100,438.19549469328024,0.737280618493716
