radius,value,metric
579.3891425,0.80196656,Kerr
592.550124,0.825618077,Kerr
538.9713895,0.792273523,Kerr
510.7864603,0.781556873,Kerr
361.1556607,0.669357013,Kerr
581.7182395,0.795600997,Kerr
331.9614257,0.626445793,Kerr
489.194158,0.760544425,Kerr
576.3959645,0.810025496,Kerr
364.3523869,0.609721619,Kerr
569.3888485,0.805389053,Kerr
580.2468983,0.809389783,Kerr
481.9511962,0.764651983,Kerr
518.8264094,0.809892522,Kerr
356.7024083,0.738274085,Kerr
497.7993588,0.776433037,Kerr
368.6460619,0.64847125,Kerr
398.543,0.72406878,Kerr
447.1099597,0.768044183,Kerr
422.4654391,0.708937579,Kerr
577.7598608,0.808305128,Kerr
407.6226403,0.688249018,Kerr
450.9194807,0.737902967,Kerr
431.0612687,0.729930015,Kerr
349.6948575,0.649592615,Kerr
332.2000459,0.68603588,Kerr
528.1565349,0.796966302,Kerr
506.4870308,0.777900984,Kerr
309.5887031,0.478534963,Kerr
341.4321053,0.655607616,Kerr
541.295385,0.786329822,Kerr
511.4342251,0.779652635,Kerr
560.9021895,0.797984542,Kerr
384.5652029,0.674222572,Kerr
468.9232925,0.784665811,Kerr
340.0199084,0.640098656,Kerr
535.3767709,0.792284048,Kerr
422.5195785,0.725588186,Kerr
586.5980134,0.797447643,Kerr
376.2906145,0.675835849,Kerr
472.0516395,0.769246283,Kerr
548.7556596,0.813833655,Kerr
482.1288303,0.779006793,Kerr
309.3148155,0.594505894,Kerr
513.5985342,0.803390799,Kerr
582.3965615,0.813363746,Kerr
529.1346931,0.796381394,Kerr
517.3661365,0.8077584,Kerr
476.832085,0.752872483,Kerr
406.7700595,0.654367886,Kerr
548.5347202,0.776682633,Kerr
366.8001047,0.584445001,Kerr
579.6177528,0.803700808,Kerr
462.7373599,0.754822081,Kerr
457.5010863,0.751031841,Kerr
406.0891181,0.714599522,Kerr
449.2621813,0.778652671,Kerr
571.1432508,0.805656698,Kerr
390.2393802,0.682223401,Kerr
539.1274751,0.794277691,Kerr
321.8760635,0.624932013,Kerr
524.1554568,0.807434843,Kerr
440.3020446,0.740302967,Kerr
445.1784101,0.753983941,Kerr
470.4307161,0.72454873,Kerr
536.6018475,0.791964749,Kerr
482.1563655,0.765015276,Kerr
523.1428719,0.809206395,Kerr
564.9433103,0.803567264,Kerr
457.5380689,0.755837492,Kerr
548.5542518,0.796839912,Kerr
375.352723,0.693473478,Kerr
479.0668038,0.764151036,Kerr
359.8988333,0.67211693,Kerr
561.5531903,0.802544713,Kerr
403.4298296,0.762973522,Kerr
417.6723639,0.726827287,Kerr
581.0078651,0.809795642,Kerr
514.4495842,0.76194126,Kerr
595.6891256,0.815176134,Kerr
421.9879478,0.72529609,Kerr
418.432321,0.723814688,Kerr
343.5141021,0.668340071,Kerr
401.059077,0.707689012,Kerr
545.7586237,0.79592636,Kerr
312.134584,0.722201341,Kerr
401.86554,0.718454824,Kerr
507.7549861,0.784436849,Kerr
485.6846031,0.768251306,Kerr
561.2367545,0.802117468,Kerr
336.6803813,0.674552132,Kerr
471.5204441,0.752302679,Kerr
525.9250012,0.786863805,Kerr
561.3082763,0.806854955,Kerr
327.889934,0.624726485,Kerr
588.6360725,0.804383146,Kerr
389.5117732,0.697433963,Kerr
572.3128878,0.810516042,Kerr_Newman
569.7706569,0.87025421,Kerr_Newman
488.3891672,0.816760904,Kerr_Newman
375.2310757,0.802997087,Kerr_Newman
338.4174622,0.646790596,Kerr_Newman
406.240897,0.744950704,Kerr_Newman
579.3606744,0.834297242,Kerr_Newman
350.6683887,0.714153215,Kerr_Newman
487.7446957,0.781431783,Kerr_Newman
525.8692252,0.829379262,Kerr_Newman
378.5247824,0.704113833,Kerr_Newman
593.370658,0.876967405,Kerr_Newman
515.315267,0.80440918,Kerr_Newman
459.1476136,0.836390466,Kerr_Newman
323.4249072,0.776771918,Kerr_Newman
518.4499336,0.810823607,Kerr_Newman
465.8285067,0.840529339,Kerr_Newman
325.331557,0.796007079,Kerr_Newman
432.3974201,0.735197794,Kerr_Newman
425.5730165,0.786889377,Kerr_Newman
303.6238192,0.708551615,Kerr_Newman
308.8525716,0.776705522,Kerr_Newman
367.2972895,0.787802945,Kerr_Newman
581.9119555,0.860654973,Kerr_Newman
521.3373709,0.789091327,Kerr_Newman
385.81084,0.708745476,Kerr_Newman
399.5741591,0.73436151,Kerr_Newman
421.6319585,0.751341305,Kerr_Newman
339.7746768,0.706863068,Kerr_Newman
324.8455026,0.638853912,Kerr_Newman
308.3557473,0.657881633,Kerr_Newman
447.297776,0.821425896,Kerr_Newman
544.9596432,0.829298216,Kerr_Newman
339.0620946,0.690586472,Kerr_Newman
463.8699205,0.767591106,Kerr_Newman
538.5405718,0.804859368,Kerr_Newman
346.8503776,0.72009862,Kerr_Newman
387.8904663,0.800775328,Kerr_Newman
301.9739717,0.780576259,Kerr_Newman
413.9560004,0.74760393,Kerr_Newman
555.0808033,0.811227402,Kerr_Newman
531.3200381,0.80798604,Kerr_Newman
437.7930829,0.747117164,Kerr_Newman
513.9629609,0.79340059,Kerr_Newman
486.562481,0.82761404,Kerr_Newman
550.1541067,0.814022229,Kerr_Newman
413.1080881,0.764513059,Kerr_Newman
592.5106052,0.834418842,Kerr_Newman
558.3966332,0.815044923,Kerr_Newman
317.1156207,0.648187344,Kerr_Newman
